Id;SepalLengthCm;SepalWidthCm;PetalLengthCm;PetalWidthCm;Species
1;06.03;03.05;04.04;01.02;Iris-versicolor
2;06.08;03.05;04.08;01.05;Iris-versicolor
3;06.06;03.07;04.02;01.07;Iris-versicolor
4;05.04;02.04;4;01.03;Iris-versicolor
5;7;02.05;04.06;01.03;Iris-versicolor
6;05.09;02.02;04.07;01.03;Iris-versicolor
7;05.03;03.05;04.07;01.06;Iris-versicolor
8;04.02;02.04;03.08;1;Iris-versicolor
9;04.05;02.09;04.06;01.02;Iris-versicolor
10;05.09;02.02;03.02;01.06;Iris-versicolor
11;6;2;03.05;1;Iris-versicolor
12;05.02;3;04.06;01.03;Iris-versicolor
13;06.03;02.02;4;1;Iris-versicolor
14;06.04;02.03;04.05;01.07;Iris-versicolor
15;5;02.09;03.06;01.02;Iris-versicolor
16;06.07;03.06;04.08;01.01;Iris-versicolor
17;05.06;3;04.05;01.07;Iris-versicolor
18;05.08;02.07;04.01;1;Iris-versicolor
19;06.02;02.02;04.08;01.03;Iris-versicolor
20;05.06;02.05;03.09;01.01;Iris-versicolor
21;05.01;03.02;04.02;01.08;Iris-versicolor
22;06.08;2;4;01.03;Iris-versicolor
23;7;02.05;04.09;01.05;Iris-versicolor
24;06.02;02.08;04.07;01.02;Iris-versicolor
25;06.08;02.09;04.04;1;Iris-versicolor
26;05.07;3;04.04;01.02;Iris-versicolor
27;06.04;02.08;04.08;01.04;Iris-versicolor
28;06.02;3;5;01.07;Iris-versicolor
29;6;02.09;04.05;01.06;Iris-versicolor
30;05.02;02.07;03.05;1;Iris-versicolor
31;05.09;02.04;03.08;01.04;Iris-versicolor
32;05.04;02.04;03.07;1;Iris-versicolor
33;06.08;02.02;4;01.06;Iris-versicolor
34;6;02.07;05.01;01.06;Iris-versicolor
35;05.04;3;04.05;01.02;Iris-versicolor
36;6;03.04;04.05;01.06;Iris-versicolor
37;06.07;03.01;04.07;01.07;Iris-versicolor
38;06.03;02.07;04.04;01.03;Iris-versicolor
39;05.08;3;04.06;01.03;Iris-versicolor
40;05.05;02.04;4;1;Iris-versicolor
41;05.05;02.06;04.04;01.02;Iris-versicolor
42;06.08;3;04.06;01.02;Iris-versicolor
